1/tcp	tcpmux
2483/tcp	Oracle database listening for insecure client connections to the listener, replaces port 1521
2484/udp	Oracle database listening for SSL client connections to the listener
2484/tcp	Oracle database listening for SSL client connections to the listener
2535/udp	Multicast Address Dynamic Client Allocation Protocol (MADCAP). All standard messages are UDP datagrams.
2535/tcp	Multicast Address Dynamic Client Allocation Protocol (MADCAP). All standard messages are UDP datagrams.
2541/udp	LonTalk/IP
2541/tcp	LonTalk/IP
2546/udp	EVault data protection services
2546/tcp	EVault data protection services
2547/udp	EVault data protection services
2547/tcp	EVault data protection services
2548/udp	EVault data protection services
2548/tcp	EVault data protection services
2638/udp	SQL Anywhere database server
2638/tcp	SQL Anywhere database server
2727/udp	Media Gateway Control Protocol (MGCP) media gateway controller (call agent)
2727/tcp	Media Gateway Control Protocol (MGCP) media gateway controller (call agent)
2809/udp	corbaloc:iiop URL, per the CORBA 3.0.3 specification
2809/tcp	corbaloc:iiop URL, per the CORBA 3.0.3 specification
2811/udp	gsi ftp, per the GridFTP specification
2811/tcp	gsi ftp, per the GridFTP specification
2944/udp	Megaco text H.248
2944/tcp	Megaco text H.248
2945/udp	Megaco binary (ASN.1) H.248
2945/tcp	Megaco binary (ASN.1) H.248
2947/udp	gpsd, GPS daemon
2947/tcp	gpsd, GPS daemon
2948/udp	WAP push Multimedia Messaging Service (MMS)
2948/tcp	WAP push Multimedia Messaging Service (MMS)
2949/udp	WAP push secure (MMS)
2949/tcp	WAP push secure (MMS)
2967/udp	Symantec System Center agent (SSC-AGENT)
2967/tcp	Symantec System Center agent (SSC-AGENT)
3020/udp	Common Internet File System (CIFS). See also port 445 for Server Message Block (SMB), a dialect of CIFS.
3020/tcp	Common Internet File System (CIFS). See also port 445 for Server Message Block (SMB), a dialect of CIFS.
3050/udp	gds-db (Interbase/Firebird databases)
3050/tcp	gds-db (Interbase/Firebird databases)
3052/udp	APC PowerChute Network
3052/tcp	APC PowerChute Network
3074/udp	Xbox LIVE and Games for Windows Live
3074/tcp	Xbox LIVE and Games for Windows Live
3225/udp	Fibre Channel over IP (FCIP)
3225/tcp	Fibre Channel over IP (FCIP)
3233/udp	WhiskerControl research control protocol
3233/tcp	WhiskerControl research control protocol
3260/udp	iSCSI
3260/tcp	iSCSI
3268/udp	msft-gc, Microsoft Global Catalog (LDAP service which contains data from Active Directory forests)
3268/tcp	msft-gc, Microsoft Global Catalog (LDAP service which contains data from Active Directory forests)
3269/udp	msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268, LDAP over SSL)
3269/tcp	msft-gc-ssl, Microsoft Global Catalog over SSL (similar to port 3268, LDAP over SSL)
3283/udp	Net Assistant, a predecessor to Apple Remote Desktop
3283/tcp	Net Assistant, a predecessor to Apple Remote Desktop
3305/udp	Odette File Transfer Protocol (OFTP)
3305/tcp	Odette File Transfer Protocol (OFTP)
3386/udp	GTP' 3GPP GSM/UMTS CDR logging protocol
3386/tcp	GTP' 3GPP GSM/UMTS CDR logging protocol
3389/udp	Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT)
3389/tcp	Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT)
3396/udp	Novell NDPS Printer Agent
3396/tcp	Novell NDPS Printer Agent
3412/udp	xmlBlaster
3412/tcp	xmlBlaster
3455/udp	Resource Reservation Protocol (RSVP)
3455/tcp	Resource Reservation Protocol (RSVP)
3478/udp	STUN, a protocol for NAT traversal
3478/tcp	STUN, a protocol for NAT traversal
3478/udp	TURN, a protocol for NAT traversal (extension to STUN)
3478/tcp	TURN, a protocol for NAT traversal (extension to STUN)
3478/udp	STUN Behavior Discovery. See also port 5349.
3478/tcp	STUN Behavior Discovery. See also port 5349.
3493/udp	Network UPS Tools (NUT)
3493/tcp	Network UPS Tools (NUT)
3516/udp	Smartcard Port
3516/tcp	Smartcard Port
3645/udp	Cyc
3645/tcp	Cyc
3659/udp	Apple SASL, used by Mac OS X Server Password Server
3659/tcp	Apple SASL, used by Mac OS X Server Password Server
3667/udp	Information Exchange
3667/tcp	Information Exchange
3690/udp	Subversion (SVN) version control system
3690/tcp	Subversion (SVN) version control system
3702/udp	Web Services Dynamic Discovery (WS-Discovery), used by various components of Windows Vista and later
3702/tcp	Web Services Dynamic Discovery (WS-Discovery), used by various components of Windows Vista and later
3724/udp	Some Blizzard games
3724/tcp	Some Blizzard games
3725/udp	Netia NA-ER Port
3725/tcp	Netia NA-ER Port
3768/udp	RBLcheckd server daemon
3768/tcp	RBLcheckd server daemon
3804/udp	Harman Professional HiQnet protocol
3804/tcp	Harman Professional HiQnet protocol
3826/udp	WarMUX game server
3826/tcp	WarMUX game server
3830/udp	System Management Agent, developed and used by Cerner to monitor and manage solutions
3830/tcp	System Management Agent, developed and used by Cerner to monitor and manage solutions
3880/udp	IGRS
3880/tcp	IGRS
3999/udp	Norman distributed scanning service
3999/tcp	Norman distributed scanning service
4018/udp	Protocol information and warnings
4018/tcp	Protocol information and warnings
4089/udp	OpenCORE Remote Control Service
4089/tcp	OpenCORE Remote Control Service
4090/udp	Kerio
4090/tcp	Kerio
4093/udp	PxPlus Client server interface ProvideX
4093/tcp	PxPlus Client server interface ProvideX
4096/udp	Ascom Timeplex Bridge Relay Element (BRE)
4096/tcp	Ascom Timeplex Bridge Relay Element (BRE)
4105/udp	Shofar (ShofarNexus)
4105/tcp	Shofar (ShofarNexus)
4116/udp	Smartcard-TLS
4116/tcp	Smartcard-TLS
4172/udp	Teradici PCoIP
4172/tcp	Teradici PCoIP
4303/udp	Simple Railroad Command Protocol (SRCP)
4303/tcp	Simple Railroad Command Protocol (SRCP)
4486/udp	Integrated Client Message Service (ICMS)
4486/tcp	Integrated Client Message Service (ICMS)
4500/udp	IPSec NAT Traversal (RFC 3947, RFC 4306)
4500/assigned	IPSec NAT Traversal (RFC 3947, RFC 4306)
4662/udp	OrbitNet Message Service
4662/tcp	OrbitNet Message Service
4730/udp	Gearman's job server
4730/tcp	Gearman's job server
4739/udp	IP Flow Information Export
4739/tcp	IP Flow Information Export
4753/udp	SIMON (service and discovery)
4753/tcp	SIMON (service and discovery)
4840/udp	OPC UA Connection Protocol (TCP) and OPC UA Multicast Datagram Protocol (UDP) for OPC Unified Architecture from OPC Foundation
4840/tcp	OPC UA Connection Protocol (TCP) and OPC UA Multicast Datagram Protocol (UDP) for OPC Unified Architecture from OPC Foundation
4843/udp	OPC UA TCP Protocol over TLS/SSL for OPC Unified Architecture from OPC Foundation
4843/tcp	OPC UA TCP Protocol over TLS/SSL for OPC Unified Architecture from OPC Foundation
4847/udp	Web Fresh Communication, Quadrion Software & Odorless Entertainment
4847/tcp	Web Fresh Communication, Quadrion Software & Odorless Entertainment
4894/udp	LysKOM Protocol A
4894/tcp	LysKOM Protocol A
4950/udp	Cylon Controls UC32 Communications Port
4950/tcp	Cylon Controls UC32 Communications Port
5010/udp	Registered to: TelePath (the IBM FlowMark workflow-management system messaging platform). The TCP port is now used for: IBM WebSphere MQ Workflow
5010/tcp	Registered to: TelePath (the IBM FlowMark workflow-management system messaging platform). The TCP port is now used for: IBM WebSphere MQ Workflow
5011/udp	TelePath (the IBM FlowMark workflow-management system messaging platform)
5011/tcp	TelePath (the IBM FlowMark workflow-management system messaging platform)
5025/udp	scpi-raw Standard Commands for Programmable Instruments
5025/tcp	scpi-raw Standard Commands for Programmable Instruments
5060/udp	Session Initiation Protocol (SIP)
5060/tcp	Session Initiation Protocol (SIP)
5062/udp	Localisation access
5062/tcp	Localisation access
5064/udp	EPICS Channel Access server
5064/tcp	EPICS Channel Access server
5065/udp	EPICS Channel Access repeater beacon
5065/tcp	EPICS Channel Access repeater beacon
5084/udp	EPCglobal Low Level Reader Protocol (LLRP)
